Team Code,Power Pool Jotform
G15IAUTD1IA,YES
G17IAUTD1IA,
G15SKYLN1FL,
G16KTVBC1SO,
G18KTVBC1SO,
G16KAULU2AH,
G14KAIRO1NO,
G15KAIRO1NO,YES
G16KAIRO1NO,YES
G17KAIRO1NO,YES
G18KAIRO1NO,
G12POWER1HA,
G13POWER1HA,
G14POWER1HA,
G15POWER1HA,YES
G15IMGVB1FL,
G17IMGVB1FL,
G17INVAS1HA,
G15POWER2HA,
G16POWER1HA,YES
G16IAUTD1IA,
G17POWER1HA,YES
G18POWER1HA,YES
G16SKYLN1FL,
G17SKYLN1FL,
G15JAXJR1FL,
G16JAXJR1FL,
G17JAXJR1FL,
G16JUGGE1RM,
G12AKIVA1PR,
G13AKIVA1PR,
G16KAULU1AH,
G14AKIVA1PR,
G15AKIVA1PR,
G16AKIVA1PR,
G15KAIRO2NO,
G17AKIVA1PR,
G16KAIRO2NO,
G18AKIVA1PR,
G17KAIRO2NO,
G18KUIKA1AH,
G13LEGVC1LK,
G14LEGVC1LK,YES
G14LEGVC2LK,
G15LEGVC1LK,YES
G15LEGVC2LK,
G16LEGVC1LK,YES
G16LEGVC2LK,
G17POWER2HA,
G17LEGVC1LK,
G17LEGVC2LK,
G18LEGVC1LK,
G18LEGVC2LK,
G15LAVBC1GC,
G17LAVBC1GC,
G12FROGS1NT,
G13FROGS1NT,YES
G17KOKRO1NO,
G14FROGS2NT,YES
G14FROGS1NT,YES
G16LAVBC1GC,
G15FROGS2NT,
G15FROGS1NT,YES
G16FROGS2NT,
G16FROGS1NT,YES
G17FROGS2NT,
G17FROGS1NT,YES
G18FROGS2NT,
G18FROGS1NT,YES
G13MADJR1BG,
G12MAVBC1HA,
G13MAVBC1HA,
G14MAVBC1HA,
G15MAVBC1HA,
G16MAVBC1HA,
G17MAVBC1HA,
G18MAVBC1HA,
G16MHYPE1FL,
G17MHYPE1FL,
G15MIEVA1LK,
G16MIEVA1LK,
G17MIEVA1LK,
G18MIEVA1LK,YES
G14MLWST1BG,
G15MLWST1BG,
G16MLWST1BG,YES
G18MLWST1BG,YES
G13MSPRT1OV,YES
G14MSPRT1OV,YES
G15MSPRT1OV,
G15MADJR1BG,
G16MADJR1BG,
G17MADJR1BG,
G15MSPRT2OV,
G16MSPRT1OV,YES
G16MSPRT2OV,
G17MSPRT1OV,YES
G17MSPRT2OV,
G18MSPRT1OV,YES
G18MSPRT2OV,
G14NLITE1NO,YES
G15NLITE1NO,YES
G16NLITE1NO,YES
G17NLITE1NO,YES
G18NLITE1NO,
G12MNSEL1NO,
G13MNSEL1NO,
G14MNSEL1NO,
G15MNSEL1NO,
G16MNSEL1NO,YES
G17MNSEL1NO,YES
G18MNSEL1NO,
G16MMTSC1SC,
G17MMTSC1SC,YES
G14MOUVI1NC,
G12MUNVB1HO,
G15CNVBC1HA,
G16CNVBC1HA,
G13MUNVB1HO,
G14MUNVB1HO,
G15MLWST3BG,
G16MLWST2BG,
G15MUNVB1HO,
G17MLWST2BG,
G17MLWST1BG,
G16MUNVB1HO,
G17MUNVB1HO,
G18MUNVB1HO,YES
G14NCVBA1CR,
G15NCVBA1CR,
G16NCVBA1CR,YES
G17NCVBA1CR,YES
G18NCVBA1CR,YES
G15MCMAV1LS,
G16MCMAV1LS,
G17MCMAV1LS,
G15MDEVB1EV,
G15MMTSC1SC,
G17NEONE1GP,
G18NKYVC1PR,YES
G15MTNPK1IM,
G16MTNPK1IM,
G14NKYVC1PR,
G15NKYVC1PR,YES
G16NKYVC1PR,YES
G17NKYVC1PR,YES
G17NORCA1NC,
G18NORCA1NC,
G16NORCO1RM,
G17NORCO1RM,
G15MOUVI1NC,
G16MOUVI1NC,
G17MOUVI1NC,
G18NORCO1RM,
G17NPJPD1CE,
G18NPJPD1CE,
G18NPJVB1CE,YES
G14NPJVB1CE,
G15NPJVB1CE,
G15NORCA1NC,
G16NORCA1NC,
G16NPJVB1CE,YES
G17NPJVB1CE,
G17CHARG1OK,YES
G17CHARG3OK,
G16OPEAK1OK,
G16OMNIV1NC,
G17OMNIV1NC,
G18OMNIV1NC,
G13OTBVA1FL,
G14OTBVA2FL,
G14OTBVA1FL,
G15NPJBE1CE,
G16NPJBE1CE,
G15NPJPD1CE,
G16NPJPD1CE,
G15OTBVA2FL,
G15OTBVA1FL,YES
G16OTBVA2FL,
G16OTBVA1FL,YES
G15NPJVB2CE,
G17OTBVA3FL,
G17OTBVA1FL,YES
G17NPJVB2CE,
G16CHARG1OK,
G16CHARG4OK,
G18OTBVA3FL,
G18OTBVA2FL,
G15OMNIV1NC,
G15OMNIV1AZ,
G16OJVBC1DE,
G14PARVB1CH,
G15PARVB1CH,
G16PARVB1CH,
G17PARVB1CH,
G18PARVB1CH,
G17PEVBA1NT,YES
G14PHPVB1HO,YES
G15PHPVB1HO,
G16PHPVB1HO,YES
G17PHPVB1HO,YES
G18PHPVB1HO,YES
G14POHAK1HA,YES
G15POHAK1HA,
G15OJVBC1DE,
G18POHAK1HA,YES
G17OJVBC1DE,
G12PREMR1GP,
G13PREMR1GP,YES
G16PARVB2CH,
G14PREMR1GP,YES
G15PREMR2GP,
G15PREMR1GP,YES
G16PREMR1GP,YES
G16PEVBA1NT,
G17PREMR1GP,YES
G18PREMR1GP,YES
G12PVAKC1HA,
G13PVAKC1HA,
G14PVAKC1HA,
G15PVAKC1HA,YES
G15PLSCV1SC,
G16PLSCV1SC,
G16PVAKC1HA,YES
G17PVAKC1HA,YES
G16POHAK1HA,
G17POHAK1HA,
G18PVAKC1HA,
G15PWRPX1IA,
G17RRHVB1IM,
G14REVOL1AZ,YES
G15REVOL1AZ,YES
G15PREMR3NT,
G16PREMR1NT,
G16REVOL1AZ,
G17REVOL1AZ,YES
G12RWDTH1GW,
G14RWDTH1GW,
G15RWDTH1GW,YES
G16RWDTH1GW,
G17RWDTH1GW,YES
G18RWDTH1GW,
G17SAJVB1LS,
G14SGELT1SC,YES
G15SGELT1SC,
G16SGELT1SC,YES
G17SGELT1SC,
G18SGELT1SC,YES
G17SCROC1SC,YES
G17SCROC2SC,YES
G18SCROC1SC,YES
G16RHVBC1SO,
G18SCROC2SC,
G12SCROC1SC,
G13SCROC1SC,YES
G14SCROC1SC,YES
G14SCROC2SC,YES
G15SCROC1SC,YES
G15SCROC2SC,YES
G17RTSVA1IA,
G15SAJVB1LS,
G16SAJVB1LS,
G16SCROC2SC,
G16SCROC1SC,YES
G17SCROC3SC,
G17SHOCK1HA,YES
G14SKYHI1GL,
G15SKYHI1GL,
G16SKYHI1GL,
G17SKYHI1GL,
G18SKYHI1GL,
G15SKYLN2NT,
G16SKYLN2NT,
G14SKYLN1NT,
G14SKYLN2NT,
G17SEALB1SC,
G15SKYLN1NT,
G16SKYLN1NT,
G17SKYLN1NT,
G17SKYLN2NT,
G13SKYLN1NT,
G15SHOCK1HA,
G16SHOCK1HA,
G18SKYLN2NT,
G18SKYLN1NT,
G16SCVBC1IM,YES
G15STVAC1LS,
G16STVAC1LS,
G18STVAC1LS,
G16SPSER1AH,
G17SPSER1AH,
G18SPSER1AH,
G17SAVBC1SC,
G16SAVBC1SC,
G14SPVBC1GL,
G15SPVBC1GL,
G16SPVBC1GL,
G15STARS1PM,
G16STARS1PM,
G18SPVBC1GL,
G17STARS1PM,
G18STARS1PM,
G18SUDNI1PS,
G16STVAC2LS,
G17STVAC1LS,
G12SUNSH1SC,
G13SUNSH1SC,YES
G14SUNSH1SC,
G15SUNSH1SC,
G16SUNSH1SC,YES
G17SUNSH2SC,
G17SUNSH1SC,YES
G18SUNSH1SC,YES
G12SRFSD1SC,
G13SRFSD1SC,
G15FORCE1NC,YES
G17SRFSD1SC,
G15TAVHO1LS,
G16TNVBC1FL,
G16TAVHO1LS,
G17TAVHO1LS,
G18TAVHO1LS,
G13TXADV1NT,
G14TXADV1NT,YES
G15TXADV1NT,YES
G15TXADV2NT,
G16TXADV2NT,
G16TXADV1NT,
G16TXADV3NT,
G17TXADV2NT,
G17TXADV1NT,
G18TXADV2NT,
G18TXADV1NT,
G14TAVBJ1HO,YES
G17TKVBC1SO,
G15TAVBJ1HO,YES
G18TAVBJ1HO,YES
G16TAVBC1HO,
G17TAVBC1HO,YES
G18TAVBC1HO,
G18TOLVC1OV,
G14TSVBA1FL,
G15TSVBA1FL,
G16TSVBA1FL,
G17TSVBA1FL,
G18TSVBA1FL,
G18MPACT1HA,
G16TSNTS1HA,YES
G16TPV261SO,
G14TRNGL1CR,
G15TRNGL1CR,YES
G16TRNGL1CR,
G17TRNGL1CR,YES
G18TRNGL1CR,
G14TRIST1PR,
G15TRIST1PR,YES
G16TRIST1PR,YES
G17TRIST1PR,YES
G18TRIST1PR,
G14TSTRT1SC,
G15TSTRT1SC,YES
G16TSTRT1SC,YES
G17TSTRT1SC,YES
G15TSTIE1SC,
G16TSTIE2SC,
G16TSTIE1SC,
G15TSTLV1SC,
G16TSTLV1SC,
G18TSTRT1SC,
G15TWSKY1LS,
G16TWSKY1LS,
G17TWSKY1LS,
G16TLGCY1LS,
G15UNION1PR,
G16UNION1PR,
G17UNION1PR,
G18UNION1PR,
G17UNOVB1GL,
G15VCUTD1GL,
G16VCUTD1GL,
