Team Code,Team Name
G15KAIRO1NO,Kairos 15 Alpha
G15KAIRO2NO,Kairos 15 Beta
G14KAIRO1NO,Kairos 14 Alpha
G18KAIRO1NO,Kairos 18 Alpha
G18POWER1HA,KC Power 18-1
G14POWER1HA,KC Power 14-1
G13POWER1HA,KC Power 13-1
G12POWER1HA,KC Power 12-1
G15POWER1HA,KC Power 15-1
G15POWER2HA,KC Power 15-2
G17POWER1HA,KC Power 17-1
G17POWER2HA,KC Power 17-2
G16POWER1HA,KC Power 16-1
G17AKIVA1PR,KIVA 17 Red
G15AKIVA1PR,KIVA 15 Red
G16AKIVA1PR,KIVA 16 Red
G12AKIVA1PR,KIVA 12 Red
G13AKIVA1PR,KIVA 13 Red
G14AKIVA1PR,KIVA 14 Red
G18AKIVA1PR,KIVA 18 Red
G17KOKRO1NO,Kokoro Volleyball 17-1
G18KUIKA1AH,KU`IKAHI 18 Wahine RSB
G18LEGVC1LK,Legacy 18-1 ADIDAS
G18LEGVC2LK,Legacy 18-2 ADIDAS
G17LEGVC2LK,Legacy 17-2 ADIDAS
G17LEGVC1LK,Legacy 17-1 ADIDAS
G14LEGVC1LK,Legacy 14-1 ADIDAS
G14LEGVC2LK,Legacy 14-2 ADIDAS
G13LEGVC1LK,Legacy 13-1 ADIDAS
G15LEGVC1LK,Legacy 15-1 ADIDAS
G15LEGVC2LK,Legacy 15-2 ADIDAS
G16LEGVC1LK,Legacy 16-1 ADIDAS
G16LEGVC2LK,Legacy 16-2 ADIDAS
G15LAVBC1GC,LAV 15 National Black
G16LAVBC1GC,LAV 16 National Black
G17LAVBC1GC,LAV 17 National Black
G17FROGS2NT,MADFROG 17'S N BLACK ENRI
G17FROGS1NT,MADFROG 17'S N GREEN
G16FROGS2NT,MADFROG 16'S N BLACK CJ
G15FROGS2NT,MADFROG 15'S N BLACK
G16FROGS1NT,MADFROG 16'S N GREEN
G15FROGS1NT,MADFROG 15'S N GREEN
G14FROGS2NT,MADFROG 14'S N BLACK
G13FROGS1NT,MADFROG 13'S N GREEN
G12FROGS1NT,MADFROG 12'S N GREEN
G14FROGS1NT,MADFROG 14'S N GREEN
G18FROGS1NT,MADFROG 18'S N GREEN
G18FROGS2NT,MADFROG 18'S N BLACK SEAR
G13MADJR1BG,Madtown 131 National
G15MADJR1BG,Madtown 151 National
G16MADJR1BG,Madtown 161 National
G17MADJR1BG,Madtown 171 National
G18MAVBC1HA,MAVS 18 Elite
G17MAVBC1HA,MAVS 17 Elite
G16MAVBC1HA,MAVS 16 Elite
G14MAVBC1HA,MAVS 14 Elite
G13MAVBC1HA,MAVS 13 Elite
G12MAVBC1HA,MAVS 12 Elite
G15MAVBC1HA,MAVS 15 Elite
G16MHYPE1FL,Miami Hype 16U PRIME1
G17MHYPE1FL,Miami Hype 17U PRIME1
G17MIEVA1LK,MiElite 17 Mizuno
G16MIEVA1LK,MiElite 16 Mizuno
G15MIEVA1LK,MiElite 15 Mizuno
G18MIEVA1LK,MiElite 18 Mizuno
G18MLWST1BG,MKE Sting 18 Gold
G15MLWST3BG,MKE Sting 15 White
G15MLWST1BG,MKE Sting 15 Gold
G14MLWST1BG,MKE Sting 14 Gold
G16MLWST1BG,MKE Sting 16 Gold
G16MLWST2BG,MKE Sting 16 Black
G17MLWST1BG,MKE Sting 17 Gold
G17MLWST2BG,MKE Sting 17 Black
G17MSPRT2OV,Mintonette Sports - m.72
G17MSPRT1OV,Mintonette Sports - m.71
G16MSPRT1OV,Mintonette Sports - m.61
G16MSPRT2OV,Mintonette Sports - m.62
G14MSPRT1OV,Mintonette Sports - m.41
