Match ID,First Team ID,First Team Name,Second Team ID,Second Team Name,Winner,Set Scores
-51911,129336,Premier 17 Black,210553,Goldfish 18-1,Premier 17 Black,"25-8, 25-8"
-51914,129336,Premier 17 Black,113249,FRVBC 17-2 Red,Premier 17 Black,"25-23, 25-22"
-52048,129336,Premier 17 Black,144817,The EDGE 17 Kathleen,Premier 17 Black,"25-11, 25-16"
-51892,9822,Five Star 17 Black,212624,TVBC 17-1,Five Star 17 Black,"25-19, 25-20"
-51894,9822,Five Star 17 Black,199612,Whiteout 18-1,Five Star 17 Black,"25-21, 25-22"
-51883,144817,The EDGE 17 Kathleen,171029,Whiteout 17-1,The EDGE 17 Kathleen,"25-22, 25-19"
-51885,144817,The EDGE 17 Kathleen,72191,LVBC 17-1,The EDGE 17 Kathleen,"25-17, 25-22"
-51910,113249,FRVBC 17-2 Red,210553,Goldfish 18-1,FRVBC 17-2 Red,"25-19, 25-16"
-52003,113249,FRVBC 17-2 Red,72191,LVBC 17-1,FRVBC 17-2 Red,"25-9, 25-16"
-52005,113249,FRVBC 17-2 Red,169046,Mystics FVBC 18-1,FRVBC 17-2 Red,"25-13, 25-15"
-52007,208627,AIRCAT17 18-1,113249,FRVBC 17-2 Red,FRVBC 17-2 Red,"25-17, 25-23"
-52055,113249,FRVBC 17-2 Red,212624,TVBC 17-1,FRVBC 17-2 Red,"25-14, 25-12"
-52052,113249,FRVBC 17-2 Red,199612,Whiteout 18-1,FRVBC 17-2 Red,"17-25, 28-26, 15-9"
-52050,208627,AIRCAT17 18-1,113249,FRVBC 17-2 Red,FRVBC 17-2 Red,"25-15, 27-29, 22-20"
-51904,208627,AIRCAT17 18-1,200948,Crossfire 17-1,AIRCAT17 18-1,"25-15, 25-14"
-52002,208627,AIRCAT17 18-1,169046,Mystics FVBC 18-1,AIRCAT17 18-1,"25-14, 25-7"
-52004,208627,AIRCAT17 18-1,72191,LVBC 17-1,AIRCAT17 18-1,"25-14, 25-23"
-52054,200948,Crossfire 17-1,208627,AIRCAT17 18-1,AIRCAT17 18-1,"25-14, 25-17"
-52051,171029,Whiteout 17-1,208627,AIRCAT17 18-1,AIRCAT17 18-1,"25-13, 25-16"
-51886,72191,LVBC 17-1,171029,Whiteout 17-1,Whiteout 17-1,"25-17, 18-25, 15-11"
-51939,171029,Whiteout 17-1,207067,Core VBC 17U Blue,Whiteout 17-1,"25-17, 26-24"
-51941,171029,Whiteout 17-1,212624,TVBC 17-1,Whiteout 17-1,"13-25, 25-15, 15-13"
-51944,171029,Whiteout 17-1,205245,High Desert Elite 17 E-AP,Whiteout 17-1,"18-25, 25-22, 15-5"
-51895,199612,Whiteout 18-1,212624,TVBC 17-1,Whiteout 18-1,"25-17, 25-21"
-51948,199612,Whiteout 18-1,210553,Goldfish 18-1,Whiteout 18-1,"25-12, 25-14"
-51950,199612,Whiteout 18-1,200948,Crossfire 17-1,Whiteout 18-1,"23-25, 25-14, 15-8"
-51953,199612,Whiteout 18-1,197950,Believe 17 Rise,Whiteout 18-1,"25-16, 25-11"
-51949,197950,Believe 17 Rise,200948,Crossfire 17-1,Crossfire 17-1,"25-21, 25-15"
-51952,210553,Goldfish 18-1,200948,Crossfire 17-1,Crossfire 17-1,"25-13, 28-26"
-51940,205245,High Desert Elite 17 E-AP,212624,TVBC 17-1,TVBC 17-1,"25-19, 29-27"
-51943,207067,Core VBC 17U Blue,212624,TVBC 17-1,Core VBC 17U Blue,"11-25, 25-22, 15-11"
-51979,207067,Core VBC 17U Blue,197950,Believe 17 Rise,Believe 17 Rise,"25-15, 25-23"
-51951,197950,Believe 17 Rise,210553,Goldfish 18-1,Believe 17 Rise,"25-23, 25-13"
-52062,197950,Believe 17 Rise,169046,Mystics FVBC 18-1,Believe 17 Rise,"25-21, 22-25, 15-13"
-52059,197950,Believe 17 Rise,205245,High Desert Elite 17 E-AP,Believe 17 Rise,"25-22, 17-25, 15-13"
-52057,72191,LVBC 17-1,197950,Believe 17 Rise,Believe 17 Rise,"25-14, 25-21"
-52006,169046,Mystics FVBC 18-1,72191,LVBC 17-1,LVBC 17-1,"25-16, 25-21"
-52058,72191,LVBC 17-1,210553,Goldfish 18-1,LVBC 17-1,"25-17, 17-25, 15-5"
-52061,207067,Core VBC 17U Blue,210553,Goldfish 18-1,Goldfish 18-1,"25-22, 23-25, 15-9"
-51987,169046,Mystics FVBC 18-1,205245,High Desert Elite 17 E-AP,High Desert Elite 17 E-AP,"25-18, 25-13"
-51942,205245,High Desert Elite 17 E-AP,207067,Core VBC 17U Blue,High Desert Elite 17 E-AP,"25-15, 25-20"
-51620,71451,CoJrs 17Kaleena,199655,Fight Club VB 17-1,Fight Club VB 17-1,"26-24, 25-19"
-51621,110901,ID Crush 17 Bower,199655,Fight Club VB 17-1,ID Crush 17 Bower,"25-21, 25-14"
-51623,9709,NORCO 17 Black,199655,Fight Club VB 17-1,Fight Club VB 17-1,"25-21, 25-23"
-51694,199655,Fight Club VB 17-1,206534,Club 801 U18 Callie,Club 801 U18 Callie,"18-25, 25-19, 15-10"
-51696,199655,Fight Club VB 17-1,833,OK Charge 17 UA,Fight Club VB 17-1,"31-29, 25-16"
-51699,199655,Fight Club VB 17-1,56329,Elevation 17 Peak,Fight Club VB 17-1,"21-25, 25-20, 15-11"
-51758,71273,VCNebraska 17 Elite,199655,Fight Club VB 17-1,Fight Club VB 17-1,"25-15, 22-25, 15-8"
-51754,71451,CoJrs 17Kaleena,199655,Fight Club VB 17-1,Fight Club VB 17-1,"27-25, 25-22"
-51752,126031,Kairos 17 Alpha,199655,Fight Club VB 17-1,Fight Club VB 17-1,"29-27, 25-21"
-51629,126031,Kairos 17 Alpha,202662,Topeka Impact 17-1,Kairos 17 Alpha,"26-24, 25-27, 15-8"
-51631,126031,Kairos 17 Alpha,56329,Elevation 17 Peak,Kairos 17 Alpha,"25-22, 19-25, 15-11"
