TeamCode,TeamName,2024 Triple Crown NIT,2024 USAV Girls Junior National Championship 14-17,2025 Triple Crown Colorado Challenge,25 Central Zone Invitational
g12havoc1ho,Select 12 Elite,,,,None (12 Club Blue)
g12hedln1ov,Headlines VBC 12 Navy,,,,19 (12 Club Red)
g12jugge1rm,Juggernaut 12-Regional1,,,5 (13 Club),
g12lakot1ov,LAVA 12-1 Black,,,,None (12 Club Blue)
g12legvc1lk,Legacy 12-1 ADIDAS,,,,9 (12 Open)
g12legvc2lk,Legacy 12-2 ADIDAS,,,,None (12 Club Blue)
g12lexvb1pr,Lex United 12 Elite,,,,13 (12 Premier)
g12lexvb2pr,Lex United 22 Elite,,,,9 (12 Club Red)
g12mavas1pr,MAVA Adidas 12-Select,,,,17 (12 Premier)
g12metro1ho,Metro VBC 12 Pink,,,,11 (12 Open)
g12metro2ho,Metro VBC 12 Black,,,,None (12 Club Blue)
g12mieva1lk,MiElite 12 Mizuno,,,,23 (12 Premier)
g12mlwst1bg,MKE Sting 12 Gold,,,,3 (12 Open)
g12mlwst2bg,MKE Sting 12 Black,,,,13 (12 Premier)
g12msprt1ov,Mintonette Sports - m.21,,,,11 (12 Open)
g12msprt2ov,Mintonette Sports - m.22,,,,5 (12 Club Red)
g12nivba1ho,NIVA 12 PURPLE,,,,5 (12 Club Red)
g12nivba2ho,NIVA 12 WHITE,,,,None (12 Club Blue)
g12nkjvb1pr,NKJV 12 Blue,,,,21 (12 Premier)
g12nkjvb2pr,NKJV 12 White,,,,None (12 Club Blue)
g12nkjvb3pr,NKJV 12 Black,,,,15 (12 Club Red)
g12nkjvb4pr,NKJV 12 Silver,,,,None (12 Club Blue)
g12nkyvc1pr,NKYVC 12-1 Tsunami,,,,9 (12 Open)
g12nkyvc2pr,NKYVC 12-2 Tide,,,,5 (12 Premier)
g12nkyvc3pr,NKYVC 12-3 Typhoon,,,,None (12 Club Blue)
g12nkyvc4pr,NKYVC 12-4 Thunder,,,,13 (12 Club Red)
g12norco1rm,NORCO 12 Black,,,1 (13 Club),
g12oprem1ov,OPVC 12 Mahar,,,,1 (12 Premier)
g12oprem2ov,OPVC 12 Gennett,,,,3 (12 Premier)
g12oprem3ov,OPVC 12 Hineline,,,,5 (12 Club Red)
g12progy1pr,Prodigy 12 Red,,,,None (12 Club Blue)
g12prsut1gw,Pursuit 12 Elite,,,,None (12 Club Blue)
g12revbc1ho,Rev 12-1 Storm  (N),,,,22 (12 Premier)
g12rncjr1ho,Roncalli Juniors 12-1,,,,None (12 Club Blue)
g12rncjr2ho,Roncalli Juniors 12-2,,,,23 (12 Club Red)
g12soine1pr,SOINE 12-1,,,,9 (12 Club Red)
g12spike1rm,SPIKES 12 JumpStart,,,12 (13 Club),
g12stjrv1ho,Stars Jr VBC 12-1,,,,None (12 Club Blue)
g12sumvb1ho,Summit 12 Blue Elite,,,,9 (12 Premier)
g12swvbc1ov,Southwest 12N Kate,,,,9 (12 Premier)
g12tavbc1ho,Academy 12-1O Bobcats,,,,13 (12 Open)
g12tavbc2ho,Academy 12-2E Leopards,,,,24 (12 Premier)
g12tavbj1ho,Boiler Jrs 12-1O Gold,,,,5 (12 Open)
g12tavbj2ho,Boiler Jrs 122E Black,,,,None (12 Club Blue)
g12tavms1ho,Monon 12-1O Tigers,,,,7 (12 Open)
g12tavms2ho,Monon 12-2E Lions,,,,5 (12 Premier)
g12tivbc1ho,TI Elite 12Thundercats,,,,20 (12 Premier)
g12tolvc1ov,TVC 12-Black,,,,5 (12 Premier)
g12tolvc2ov,TVC 12-Royal,,,,None (12 Club Blue)
g12tolvc3ov,TVC 12-Silver,,,,17 (12 Club Red)
g12tpine2ho,Pineapple 12 Black,,,,2 (12 Club Red)
g12union1pr,UNION 12 Purple,,,,3 (12 Premier)
g12union2pr,UNION 12 Gold,,,,9 (12 Club Red)
g13acavc1ov,AVC CLE 13 Red,,,,9 (13 Open)
g13acavc2ov,AVC CLE 13 White,,,,27 (13 Premier)
g13acity1ov,CHiX 13-PiNK,,,,9 (13 Club Red)
g13afive1so,A5 12-1 LA,2 (12 & Under),,,
g13akiva1pr,Adidas KIVA 13 Red,13 (12 & Under),,,3 (13 Open)
g13akiva2pr,Adidas KIVA 13 White,,,,1 (13 Premier)
g13akiva3pr,Adidas KIVA 13 Black,,,,5 (13 Club Blue)
g13allvb1so,Alliance 13 REN,,,,16 (13 Open)
